	context	question-X	canquestion-X	answer-Y	judgements	goldstandard1	goldstandard2	Label	Annotation_1	Annotation_2	Annotation_3	Annotation_4	Annotation_5
16	X and Y are colleagues who are leaving work on a Friday at the same time.	How you seen the scooter rentals?	I have I seen the scooter rentals .	I signed up for them.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
17	X wants to know about Y's food preferences.	Are you in the mood for a specific type of cuisine?	I am in the mood for a specific type of cuisine .	I'm always in the mood for pizza.	Probably yes / sometimes yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
18	X wants to know about Y's music preferences.	Have you heard any decent rock music lately?	I have heard decent rock music lately .	I got turned on to a great band from Quebec recently.	Probably yes / sometimes yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
19	X and Y are colleagues who are leaving work on a Friday at the same time.	Is the baby doing good?	The baby is doing good .	She's teething.	Probably yes / sometimes yes#In the middle, neither yes nor no#Probably no#I am not sure how X will interpret Y’s answer#Probably no			6	1	4	2	4	2
20	X wants to know about Y's music preferences.	Do you enjoy listening to classical music?	I enjoy listening to classical music .	I wouldn't say I do	No#No#No#No#No	No	No	2	2	2	2	2	2
21	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are your parents still living with you?	My parents am living with I .	Unfortunately that's the only option we have.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
22	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any fun plans for the weekend?	I have fun plans for the weekend .	Nothing planned yet	No#No#No#No#No	No	No	2	2	2	2	2	2
23	X wants to know what activities Y likes to do during weekends.	Are you going to the high school football game tonight?	I am going to the high school football game tonight .	I haven't been in years.	Probably no#Probably no#In the middle, neither yes nor no#In the middle, neither yes nor no#No		No	2	2	2	4	4	2
24	X wants to know about Y's music preferences.	You wanna hit a country-western bar tonight?	I wan na hit a country-western bar tonight .	That sounds terrible.	No#No#No#No#No	No	No	2	2	2	2	2	2
25	X wants to know what sorts of books Y likes to read.	Would a book of short stories appeal to you?	A book of short stories would appeal to I .	If the stories are interesting.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
26	Y has just told X that he/she is thinking of buying a flat in New York.	Are you thinking of moving soon?	I am thinking of moving soon .	As soon as possible	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
27	Y has just told X that he/she is considering switching his/her job.	Would you be interested in a job related to customer service?	I would be interested in a job related to customer service .	I'm not sure I want to work with the public.	Probably no#Probably no#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
28	Y has just travelled from a different city to meet X.	Did you bring comfy clothes?	I did bring comfy clothes .	I have cozy pajamas.	Yes#Yes#Yes#I am not sure how X will interpret Y’s answer#Yes	Yes	Yes	1	1	1	1	4	1
29	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you from the area?	I am from the area .	Grew up just down the street.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
30	Y has just told X that he/she is thinking of buying a flat in New York.	Is it close to a subway station?	It is close to a subway station .	It's a five minute walk from the Metro.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
31	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Have you kept in touch with anyone here?	I have kept in touch with anyone here .	I've been talking to our other friend Angela.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
32	X wants to know about Y's food preferences.	Do you drink beer?	I drink beer .	I don't drink alcohol.	No#No#No#No#No	No	No	2	2	2	2	2	2
33	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Did you serve in the military?	I did serve in the military .	I was in the Navy.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
34	X wants to know about Y's food preferences.	Do you play any instruments?	I play instruments .	I like playing with chicken drumsticks!	I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes#Yes, subject to some conditions#In the middle, neither yes nor no#No			6	4	1	3	4	2
35	X wants to know what sorts of books Y likes to read.	Did you read any of the best-sellers?	I did read of the best-sellers .	I'm not familiar with the current best-seller list.	Probably no#No#In the middle, neither yes nor no#No#No	No	No	2	2	2	4	2	2
36	Y has just told X that he/she is thinking of buying a flat in New York.	Want to live in a more affordable area of town?	I want to live in a more affordable area of town .	I would like something a little cheaper.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
37	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you the first owners of this home?	I am the first owners of this home .	We purchased it from the original owners.	No#No#No#No#No	No	No	2	2	2	2	2	2
38	Y has just travelled from a different city to meet X.	Did you get enough sleep?	I did get enough sleep .	I woke up very tired this morning.	No#Probably no#No#Probably no#No	No	No	2	2	2	2	2	2
39	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you the owner of your home?	I am the owner of my home .	We're renting it.	No#No#No#No#No	No	No	2	2	2	2	2	2
40	X wants to know about Y's music preferences.	Are you single?	I am single .	I'll be a bachelor forever.	Yes#Probably yes / sometimes yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
41	X wants to know about Y's music preferences.	Do you like country music?	I like country music .	I love the Nashville sound.	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
42	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Did you read boos as a child?	I did read boos as a child .	I have always loved to read	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
43	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still live in the same area?	I live in the same area .	I moved across the country.	No#No#No#No#No	No	No	2	2	2	2	2	2
44	Y has just told X that he/she is thinking of buying a flat in New York.	Do you have your own washer and dryer?	I have my own washer and dryer .	There's a laundry room downstairs.	Probably no#In the middle, neither yes nor no#No#No#No	No	No	2	2	4	2	2	2
45	X wants to know about Y's food preferences.	Is salad something you're interested in?	Salad is something I 're interested in .	I try to have it with most meals	Yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
46	X wants to know what sorts of books Y likes to read.	Are you into graphic novels?	I am into graphic novels .	I only read fiction novels.	In the middle, neither yes nor no#No#Probably no#No#Probably no		No	2	4	2	2	2	2
47	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Would you be interested in watching Joker?	I would be interested in watching Joker .	I do not like action movies.	No#I am not sure how X will interpret Y’s answer#Probably no#No#No	No	No	2	2	4	2	2	2
48	X wants to know about Y's food preferences.	Do you like buffets?	I like buffets .	They're one of my favorite types of restaurants.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
49	X wants to know what activities Y likes to do during weekends.	Do you enjoy being outdoor?	I enjoy being outdoor .	I like being alone in nature.	Yes, subject to some conditions#Yes#Yes#Yes#Yes	Yes	Yes	1	3	1	1	1	1
50	X wants to know about Y's food preferences.	Do you like french fries?	I like french fries .	Only if they're waffle fries.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
51	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are you still into sci fi movies?	I am into sci fi movies .	I do still watch some sci-fi for fun.	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
52	X wants to know what activities Y likes to do during weekends.	Do you exercise?	I exercise .	I try to every now and then	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
53	X wants to know about Y's food preferences.	Will you wait in line if the food is good?	I will wait in line if the food is good .	I don't have the time to hang around.	No#No#No#Probably no#No	No	No	2	2	2	2	2	2
54	X wants to know about Y's music preferences.	Have you heard Mozart?	I have heard Mozart .	His music is brilliant.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
55	X wants to know about Y's food preferences.	Do you like family style restaurants?	I like family style restaurants .	I find the variety good.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
56	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want to meet for dinner?	I want to meet for dinner .	That sounds good, let's have Italian.	Yes#Yes, subject to some conditions#Yes#Yes#Yes	Yes	Yes	1	1	3	1	1	1
57	X wants to know what sorts of books Y likes to read.	Do you like series of books?	I like series of books .	I don't want to get involved in a long series.	No#No#No#No#No	No	No	2	2	2	2	2	2
58	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Will you be working here?	I will be working here .	Depends what job I get.	In the middle, neither yes nor no#Yes, subject to some conditions#Yes, subject to some conditions#In the middle, neither yes nor no#In the middle, neither yes nor no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	4	3	3	4	4
59	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like sandwich?	I like sandwich .	I usually go with a burger instead.	Probably no#No#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
60	Y has just told X that he/she is thinking of buying a flat in New York.	Is a basement flat okay?	A basement is flat okay .	I can't live in a garden apartment.	No#No#No#I am not sure how X will interpret Y’s answer#No	No	No	2	2	2	2	4	2
61	X wants to know what sorts of books Y likes to read.	Are you into Stephen King?	I am into Stephen King .	Carrie was a great book.	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
62	X wants to know what sorts of books Y likes to read.	Are you interested in historical novels?	I am interested in historical novels .	If it's American.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
63	X and Y are colleagues who are leaving work on a Friday at the same time.	Are you familiar with this neighborhood?	I am familiar with this neighborhood .	I'm getting to know it	No#No#In the middle, neither yes nor no#Probably no#Probably yes / sometimes yes		No	2	2	2	4	2	1
64	X wants to know about Y's food preferences.	Want to get fast food?	I want to get fast food .	That would make me sick.	No#No#No#No#No	No	No	2	2	2	2	2	2
65	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still live in the old neighborhood?	I live in the old neighborhood .	I moved away years ago	No#No#No#No#No	No	No	2	2	2	2	2	2
66	Y has just told X that he/she is considering switching his/her job.	Have you told anyone else what you're thinking?	I have told anyone else what I 're thinking .	You are the only person I've told so far.	No#No#No#No#No	No	No	2	2	2	2	2	2
67	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you like the same foods that you used to eat?	I like the same foods that I used to eat .	My eating habits have changed a lot.	Probably no#Probably no#No#Probably no#No	Probably no	No	2	2	2	2	2	2
68	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you in a relationship?	I am in a relationship .	I've been seeing someone for six months.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
69	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Will you be living here by yourself?	I will be living here by myself .	It's just me and my dogs.	Yes#Yes#No#Yes#Yes	Yes	Yes	1	1	1	2	1	1
70	X wants to know what activities Y likes to do during weekends.	Want to go dancing?	I want to go dancing .	It really depends on where we're going.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
71	Y has just told X that he/she is considering switching his/her job.	Do you think you'll like it there?	I think I 'll like it there .	I hope so.	Yes#In the middle, neither yes nor no#Probably yes / sometimes yes#In the middle, neither yes nor no#Probably yes / sometimes yes		Yes	1	1	4	1	4	1
72	Y has just told X that he/she is thinking of buying a flat in New York.	Is the flat in a good area?	The flat is in a good area .	It's right across from Central Park.	In the middle, neither yes nor no#Yes#In the middle, neither yes nor no#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer		In the middle, neither yes nor no	4	4	1	4	1	4
73	Y has just travelled from a different city to meet X.	Do you want to go to the city centre?	I want to go to the city centre .	Only if we can do some shopping.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
74	Y has just told X that he/she is considering switching his/her job.	Are you concerned about your salary?	I am concerned about my salary .	My paycheck could be bigger.	Probably yes / sometimes yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
75	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you work here in town?	I work here in town .	It takes me 20 minutes to get to work from here.	No#I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes#No#No	No	No	2	2	4	1	2	2
76	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have a lift home?	I have a lift home .	I brought my car to work today.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
77	X wants to know what activities Y likes to do during weekends.	Do you like going to the cinema or watching films in general?	I like going to the cinema or watching films in general .	I absolutely love the movies especially the 3D ones.	Yes#Other#Yes#Yes#Yes	Yes	Yes	1	1	5	1	1	1
78	X wants to know about Y's food preferences.	Do you like salads?	I like salads .	Salads are my main diet.	Yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
79	X wants to know about Y's food preferences.	Want to have a taste of leg of lamb?	I want to have a taste of leg of lamb .	I'll pass.	No#No#No#No#No	No	No	2	2	2	2	2	2
80	X and Y are colleagues who are leaving work on a Friday at the same time.	You going out tonight?	I am going out tonight .	Depends on what time I get home.	Yes, subject to some conditions#In the middle, neither yes nor no#In the middle, neither yes nor no#Yes, subject to some conditions#In the middle, neither yes nor no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	3	4	4	3	4
81	X wants to know about Y's music preferences.	Would you like to go to a classical concert?	I would like to go to a classical concert .	It depends on the cost.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
82	Y has just told X that he/she is thinking of buying a flat in New York.	Do you want to live close to a subway stop?	I want to live close to a subway stop .	I'd like to be close to the subway.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
83	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Would you like to properly catch up some time?	I would like to properly catch up time .	We can hang out when you're not busy so we can talk more.	Yes#Yes#Yes#Yes#Yes, subject to some conditions	Yes	Yes	1	1	1	1	1	3
84	Y has just told X that he/she is thinking of buying a flat in New York.	Do you need space to park a car?	I need space to park a car .	I'm going to sell my car before I move.	No#No#No#No#No	No	No	2	2	2	2	2	2
85	Y has just travelled from a different city to meet X.	Would you enjoy sightseeing downtown?	I would enjoy sightseeing downtown .	I want to see all parts of the city.	Yes#Yes#I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes#Probably yes / sometimes yes		Yes	1	1	1	4	1	1
86	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are your mum and dad still alive ?	My mum and dad am alive .	They are both dead.	No#No#No#No#No	No	No	2	2	2	2	2	2
87	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want to go grab a happy hour drink?	I want to go grab a happy hour drink .	I'm going straight home	No#No#No#No#No	No	No	2	2	2	2	2	2
88	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still have your pet hamster?	I have my pet hamster .	He died.	No#No#No#No#No	No	No	2	2	2	2	2	2
89	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do your folks still live it the same place?	My folks live it the same place .	they sold that house years ago.	No#No#No#No#No	No	No	2	2	2	2	2	2
90	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you a recent transplant to this neighborhood?	I am a recent transplant to this neighborhood .	I'm not a recent transplant.	No#No#No#No#No	No	No	2	2	2	2	2	2
91	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any special plans for the weekend?	I have special plans for the weekend .	I'm hoping to see my family.	Probably yes / sometimes yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
92	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you come here often?	I come here often .	It's my favorite cafe.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
93	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want me to walk you to your car?	I want me to walk I to my car .	That would be nice	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
94	Y has just told X that he/she is thinking of buying a flat in New York.	Do you have friends or family in New York?	I have friends or family in New York .	An old college roommate lives in the city.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
95	Y has just told X that he/she is thinking of buying a flat in New York.	Will you live in it?	I will live in it .	I plan to.	Yes#Probably yes / sometimes yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
96	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you lived here long?	I have lived here long .	I just moved here yesterday from out of state.	No#No#No#No#No	No	No	2	2	2	2	2	2
97	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want to come over to my house on Sunday afternoon?	I want to come over to my house on Sunday afternoon .	That would be lovely	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
98	Y has just told X that he/she is considering switching his/her job.	Is your job related to IT?	My job is related to IT .	I only have to know Microsoft Word.	Probably no#No#Probably no#Probably no#In the middle, neither yes nor no	Probably no	No	2	2	2	2	2	4
99	Y has just told X that he/she is considering switching his/her job.	Have you worked for a corporation before?	I have worked for a corporation before .	I would never do that.	No#No#No#No#No	No	No	2	2	2	2	2	2
100	Y has just travelled from a different city to meet X.	Are you ready for a good time?	I am ready for a good time .	Let's go crazy tonight.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
101	Y has just told X that he/she is considering switching his/her job.	Does your colleagues not support your work style?	My colleagues does support my work style .	My supervisor doesn't respect my ideas.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
102	X wants to know what sorts of books Y likes to read.	Will you be joining any book clubs?	I will be joining book clubs .	I can't take the time right now.	No#No#No#Probably no#No	No	No	2	2	2	2	2	2
103	X wants to know about Y's food preferences.	Would you like to try something you've never eaten before?	I would like to try something I 've never eaten before .	I am happy about new things.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
104	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like this neighbourhood?	I like this neighbourhood .	I'm a fan of all the big trees.	Probably yes / sometimes yes#In the middle, neither yes nor no#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	4	1	1	1
105	X wants to know what sorts of books Y likes to read.	Do you like novels based in World War 2?	I like novels based in World War 2 .	I prefer happy stories.	No#No#No#No#No	No	No	2	2	2	2	2	2
106	X wants to know what sorts of books Y likes to read.	Have you ever read Neil Gaiman?	I have read Neil Gaiman .	That sounds too serious for me.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
107	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you like cookies?	I like cookies .	I sure do	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
108	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you play any sports?	I play sports .	I'm not very physically active.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
109	Y has just told X that he/she is thinking of buying a flat in New York.	Do you know how much rent is?	I know how much rent is .	I'll be buying a place so I won't have rent.	In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#Probably no#In the middle, neither yes nor no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	4	4	4	2	4
110	X wants to know what sorts of books Y likes to read.	Have you read a lot of nonfiction?	I have read a lot of nonfiction .	I always head for that section in the library.	Yes#Probably yes / sometimes yes#In the middle, neither yes nor no#Yes#Yes	Yes	Yes	1	1	1	4	1	1
111	X wants to know about Y's music preferences.	Have you heard the latest music from Herb Alpert?	I have heard the latest music from Herb Alpert .	Who?	No#Probably no#No#No#No	No	No	2	2	2	2	2	2
112	Y has just told X that he/she is thinking of buying a flat in New York.	Will this be your first time in New York?	This will be my first time in New York .	I've been here before	Yes#No#No#No#No	No	No	2	1	2	2	2	2
113	X wants to know about Y's food preferences.	Do you like fast food?	I like fast food .	Only when nothing else is available.	No#Probably no#Yes, subject to some conditions#Yes, subject to some conditions#In the middle, neither yes nor no			6	2	2	3	3	4
114	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you enjoy gardening?	I enjoy gardening .	I use all my own herbs in my cooking.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
115	Y has just told X that he/she is considering switching his/her job.	Do you have any experience in the job your looking for?	I have experience in the job my looking for .	I'm overqualified.	Yes#Probably yes / sometimes yes#In the middle, neither yes nor no#Yes#Yes	Yes	Yes	1	1	1	4	1	1
116	X and Y are colleagues who are leaving work on a Friday at the same time.	Are you working this weekend?	I am working this weekend .	With so much work to do, I have no choice.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
117	X wants to know about Y's music preferences.	Do you care about the lyrics at all?	I care about the lyrics at all .	I pay close attention to the lyrics.	Yes#No#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	2	1	1	1
118	Y has just told X that he/she is thinking of buying a flat in New York.	Do you work alone?	I work alone .	I have plenty of coworkers.	No#Probably no#No#No#No	No	No	2	2	2	2	2	2
119	X wants to know about Y's food preferences.	Have you eaten pizza recently?	I have eaten pizza .	My husband and I split a pizza last week.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
120	X and Y are colleagues who are leaving work on a Friday at the same time.	Shall we go for a drink at a bar?	We shall go for a drink at a bar .	Is the Black Horse open ?	Yes#Yes#In the middle, neither yes nor no#Yes, subject to some conditions#Yes, subject to some conditions			6	1	1	4	3	3
121	Y has just told X that he/she is thinking of buying a flat in New York.	Have you researched flat prices in New York?	I have researched flat prices in New York .	They're all very expensive.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
122	X wants to know about Y's food preferences.	Do you like a place with lots of people and activity?	I like a place with lots of people and activity .	I prefer calm experiences.	No#Probably no#No#No#No	No	No	2	2	2	2	2	2
123	X wants to know what activities Y likes to do during weekends.	Do you like arts and crafts?	I like arts and crafts .	I wouldn't be a great fan	No#No#No#I am not sure how X will interpret Y’s answer#No	No	No	2	2	2	2	4	2
124	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Is your job in Portland?	My job is in Portland .	It's downtown.	Yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer#I am not sure how X will interpret Y’s answer#No			6	1	1	4	4	2
125	Y has just told X that he/she is considering switching his/her job.	Is the commute long?	The commute is long .	I drive 2 hours each way.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
126	X wants to know what sorts of books Y likes to read.	Have  you read Malcolm Gladwell's book?	I have read Malcolm Gladwell 's book .	I don't know him	No#No#No#No#No	No	No	2	2	2	2	2	2
127	Y has just travelled from a different city to meet X.	Would you like to go out tonight?	I would like to go out tonight .	I think I want to go to bed early.	No#No#Probably no#No#Probably no	No	No	2	2	2	2	2	2
128	X wants to know what activities Y likes to do during weekends.	Do you enjoy the theater?	I enjoy the theater .	I like to support local productions.	Yes, subject to some conditions#Yes, subject to some conditions#Probably yes / sometimes yes#Yes#Yes		Yes	1	3	3	1	1	1
129	Y has just told X that he/she is thinking of buying a flat in New York.	Do you have a job lined up in New York?	I have a job lined up in New York .	I'm still looking.	No#No#No#No#No	No	No	2	2	2	2	2	2
130	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been to the area parks yet?	I have been to the area parks yet .	I haven't had time to explore the parks yet.	No#No#No#No#In the middle, neither yes nor no	No	No	2	2	2	2	2	4
